A,Pacific,45.192361,-119.326172
B,Southwest,33.406988,-101.220704
C,Midwest,40.424648,-83.378905
D,Southeast,34.572921,-84.960937
E,Northeast,42.412642,-72.451171
F,Mountain-Prairie,42.660895,-104.472657
G,Alaska,64.422246,-151.757814
H,Pacific Southwest,37.973072,-118.710939
